open;high;low;close;volume;marketCap;timestamp
324151.9985398979;326694.0828747648;323100.4597690215;324806.0658702707;235873541602.99927;6263739493194.334;"2023-01-02"
324813.3821006039;326354.9580181957;322785.454343385;323789.9193887908;270594254191.45486;6249770124973.005;"2023-01-03"
323796.6726717794;329025.584984293;323407.1697266367;326998.4931670031;357603470868.10187;6302275946421.401;"2023-01-04"
327003.0268022554;327356.0316455145;325587.43036093;325371.6193425972;265519074684.996;6285928053516.296;"2023-01-05"
325366.5328590068;325614.6777130249;322605.7199648051;324380.1746931063;278545477154.5943;6307737245851.648;"2023-01-06"
324382.9964609701;324811.8505295077;323657.2940009857;324439.6454911467;147623998572.4181;6247243376039.517;"2023-01-07"
324421.8170005904;326896.782389299;323845.9291771033;326896.782389299;186928964345.97528;6297689123703.146;"2023-01-08"
326951.2560580433;333029.877470038;326951.2560580433;329133.446424473;356229307618.5858;6333991177889.212;"2023-01-09"
329064.4683326476;333386.068977309;328390.3226824199;332617.3874278413;302563703310.36945;6430642205313.081;"2023-01-10"
332618.6793398435;340865.3319829816;329631.1745570907;340007.5038619218;349030520340.94006;6602354750790.48;"2023-01-11"
340010.7460117677;358689.6344439353;339658.3918918016;355649.8066171286;662649655450.8496;6886469396655.472;"2023-01-12"
355636.9502193605;374672.4410680076;353566.5330504441;373644.9779401868;550826871708.9945;7227805369804.649;"2023-01-13"
373663.0324968428;395519.2942370273;373612.2075585227;393664.3159089014;731312311099.5725;7582887238289.899;"2023-01-14"
393686.5436400877;393991.7811499832;386733.3902017926;392124.0361920405;362175144206.0814;7548778187740.381;"2023-01-15"
392150.7903926237;401349.0396195814;389515.9594792177;397595.7645000106;503140746898.6884;7658485679568.756;"2023-01-16"
397712.2183098322;403258.9314620682;393767.1180833012;394811.0142854636;469535187517.15625;7656846082465.241;"2023-01-17"
394802.2768230223;401072.2032918225;385548.5633603039;390531.2108502407;559815733568.1909;7436560114368.585;"2023-01-18"
390492.8005536522;401654.9265194968;390467.0393552497;400619.2349795329;399291169070.1918;7669131568362.349;"2023-01-19"
400592.238615869;428318.2540568261;396869.3114311774;428019.9144490227;547143181257.6623;8301032075219.788;"2023-01-20"
428036.4418432021;439449.6567748094;424910.8504046332;429923.1316221874;612348005356.2593;8284174280853.581;"2023-01-21"
429929.942636972;435191.1607991341;422663.4116283403;429069.5735266594;467083090815.48285;8263660313330.534;"2023-01-22"
429082.283787393;435224.284480669;426928.1381578372;431555.9354711052;500799268160.0026;8346320698821.92;"2023-01-23"
431465.5439725969;434922.7809078125;424001.0646501154;425538.4819237302;496862744541.35767;8208666339323.758;"2023-01-24"
425591.0782681442;445951.7355054893;421462.7614156853;434493.0061848659;576848102374.1827;8375614152083.147;"2023-01-25"
434325.6358034344;437119.5832739346;431366.1958190466;433030.2688500565;495387419128.45465;8343399481464.173;"2023-01-26"
432991.5337077243;439419.4834155532;425871.3547317347;433379.2757473587;477222193893.2524;8363093028675.529;"2023-01-27"
433402.494226239;435020.7758630672;430191.4824401511;432487.0162424949;276283782980.3158;8336380712241.104;"2023-01-28"
432493.7663248129;449459.7996334731;431622.8409405757;446254.5460220498;514972968827.3992;8605974663214.596;"2023-01-29"
446256.1047661307;446706.3697770251;425323.8954828052;428789.3477776852;510655830216.64514;8264517947326.742;"2023-01-30"
428801.6854068695;437561.7257513666;427327.9331893117;436080.1447128807;428745976445.74445;8374525783026.557;"2023-01-31"
436052.8412978674;441983.1918384695;429121.3091415537;441167.2679237299;502869404556.75964;8619541645700.8955;"2023-02-01"
